Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
"10,504",10503800,1.54319,1.12913,1.47708,1.67682,1.81218,1.85348,1.40855,1.44479,1.46509,1.65609,1.3391,1.74033,1.22824,1.44495,1.45733,1.49848,1.3051,1.39414,1.493003889
"10,622",10621800,1.54652,1.13058,1.4818,1.69924,1.82449,1.8627,1.41105,1.46307,1.47719,1.67176,1.35418,1.75524,1.22812,1.44214,1.46154,1.50746,1.30499,1.381,1.500170556
"10,740",10739800,1.55035,1.13137,1.48624,1.71926,1.83804,1.87439,1.41673,1.47857,1.4894,1.68971,1.3702,1.77072,1.22768,1.43999,1.46413,1.51854,1.30751,1.36985,1.507926667
"10,858",10857800,1.54996,1.13324,1.49369,1.73702,1.85734,1.8861,1.42346,1.49667,1.50011,1.70776,1.38713,1.78582,1.22947,1.43465,1.46672,1.533,1.31102,1.35167,1.515823889
"10,976",10975900,1.54793,1.14313,1.50297,1.7526,1.87722,1.89379,1.42815,1.51279,1.51254,1.73034,1.40113,1.80426,1.23588,1.43307,1.47383,1.54446,1.31675,1.33298,1.524656667
"11,094",11093900,1.5434,1.15546,1.51201,1.76149,1.90129,1.90275,1.43694,1.52824,1.52997,1.75301,1.41157,1.82342,1.24831,1.43239,1.48421,1.55241,1.32029,1.31486,1.534001111
"11,212",11211900,1.54089,1.16862,1.51911,1.76964,1.92594,1.9129,1.44942,1.54157,1.54668,1.77554,1.42185,1.84181,1.26095,1.43162,1.49814,1.56091,1.32315,1.29982,1.543808889
"11,330",11329900,1.5402,1.18609,1.52545,1.77814,1.94792,1.92446,1.4664,1.55343,1.56342,1.79734,1.43336,1.85521,1.27685,1.42838,1.52019,1.5708,1.32252,1.28344,1.554088889
"11,448",11447900,1.53577,1.20334,1.53631,1.78641,1.9678,1.93618,1.48966,1.56228,1.57918,1.81905,1.44623,1.8703,1.29269,1.42553,1.54267,1.58245,1.31959,1.2636,1.564391111
"11,566",11566000,1.5295,1.22266,1.54054,1.79641,1.98901,1.94822,1.51929,1.57082,1.58992,1.84125,1.4604,1.88369,1.30916,1.4229,1.56569,1.59676,1.31529,1.24562,1.574840556
"11,684",11684000,1.52385,1.24176,1.54294,1.80948,2.00841,1.96077,1.55559,1.5795,1.60014,1.865,1.47441,1.89513,1.3277,1.41845,1.58806,1.61485,1.31521,1.22278,1.585779444
"11,802",11802000,1.51447,1.25946,1.54662,1.82017,2.02435,1.97868,1.59381,1.58361,1.60767,1.8853,1.48881,1.90814,1.3477,1.41657,1.60822,1.62902,1.31072,1.20338,1.595927778
"11,920",11920000,1.50428,1.2752,1.54899,1.83085,2.03555,1.99709,1.63103,1.59005,1.6093,1.90224,1.50367,1.91915,1.36904,1.41735,1.62523,1.64438,1.30869,1.19229,1.605798889
"12,038",12038000,1.49291,1.29485,1.55305,1.83907,2.04874,2.01541,1.67051,1.59821,1.61124,1.9187,1.51797,1.9272,1.39137,1.41767,1.64482,1.66363,1.31041,1.18818,1.616885556
"12,156",12156100,1.47924,1.31864,1.55548,1.84537,2.06404,2.03387,1.70632,1.60409,1.61276,1.9347,1.52907,1.93463,1.41233,1.42208,1.65722,1.67981,1.31468,1.18206,1.627021667
"12,274",12274100,1.46989,1.34345,1.5563,1.85067,2.08003,2.05331,1.74167,1.6081,1.61479,1.95101,1.54021,1.94201,1.42985,1.42744,1.66849,1.69775,1.32375,1.17788,1.637588889
"12,392",12392100,1.45871,1.36743,1.55562,1.84749,2.09562,2.07492,1.7676,1.61148,1.62031,1.96258,1.55005,1.94911,1.45014,1.43337,1.6751,1.71815,1.33131,1.17237,1.646742222
"12,510",12510100,1.45375,1.39148,1.56078,1.84795,2.1073,2.09895,1.79335,1.61454,1.62486,1.9731,1.5652,1.96431,1.46873,1.4369,1.68397,1.73614,1.34043,1.16915,1.657271667
"12,628",12628100,1.45269,1.41752,1.56973,1.85093,2.12071,2.12576,1.82068,1.61891,1.63097,1.98311,1.57796,1.98023,1.48654,1.4347,1.69634,1.75567,1.34869,1.16442,1.668642222
"12,746",12746200,1.44853,1.44685,1.58017,1.85756,2.13325,2.15466,1.8496,1.62876,1.63513,1.99509,1.59235,1.99665,1.50167,1.43491,1.70988,1.77843,1.3525,1.16229,1.681015556
"12,864",12864200,1.44688,1.47978,1.59106,1.86593,2.14616,2.18144,1.87771,1.63456,1.63839,2.00391,1.60632,2.01712,1.51396,1.43783,1.71897,1.802,1.35959,1.16061,1.693456667
"12,982",12982200,1.44525,1.51312,1.60368,1.87769,2.15758,2.20846,1.90566,1.64218,1.64016,2.01086,1.61583,2.04058,1.52202,1.44805,1.72948,1.82866,1.37263,1.15929,1.706732222
"13,100",13100200,1.44036,1.54815,1.61748,1.88846,2.16582,2.23419,1.93203,1.6495,1.64225,2.0124,1.62613,2.06324,1.52894,1.45919,1.73906,1.85527,1.38916,1.16118,1.719600556
"13,218",13218200,1.42937,1.58077,1.63445,1.89961,2.17607,2.25931,1.9585,1.65903,1.64356,2.01248,1.6345,2.08402,1.53735,1.47228,1.75022,1.88085,1.40746,1.1686,1.732690556
"13,336",13336300,1.41111,1.60981,1.65772,1.91574,2.1901,2.28566,1.98507,1.67288,1.64802,2.00712,1.64392,2.11127,1.54501,1.48584,1.75715,1.90901,1.42732,1.1782,1.746719444
"13,454",13454300,1.39451,1.63647,1.68005,1.93447,2.20319,2.31156,2.01082,1.68653,1.6537,1.99958,1.65657,2.14344,1.553,1.49833,1.76219,1.93684,1.44611,1.19159,1.761052778
"13,572",13572300,1.37634,1.66378,1.70171,1.95023,2.21955,2.3422,2.02994,1.69486,1.66147,1.99211,1.66657,2.17651,1.56303,1.50948,1.76742,1.96334,1.46497,1.21183,1.775296667
"13,690",13690300,1.36184,1.68393,1.7237,1.96862,2.23299,2.37476,2.0429,1.70223,1.67035,1.98786,1.67911,2.20805,1.56728,1.52481,1.77153,1.98533,1.48099,1.2301,1.788687778
"13,808",13808300,1.35143,1.70063,1.74709,1.99146,2.24582,2.40301,2.0569,1.70627,1.67617,1.98583,1.69267,2.2361,1.57442,1.54135,1.77693,2.00239,1.50159,1.24635,1.802022778
"13,926",13926400,1.34976,1.71592,1.76918,2.00833,2.257,2.42722,2.07185,1.70785,1.67668,1.98796,1.70866,2.26279,1.58398,1.56149,1.78781,2.01734,1.52428,1.26216,1.81557
"14,044",14044400,1.35762,1.73389,1.79087,2.02886,2.26347,2.45191,2.08962,1.71217,1.67886,1.98945,1.73197,2.28512,1.59658,1.58129,1.79833,2.03113,1.5478,1.28202,1.830608889
"14,162",14162400,1.37029,1.749,1.80618,2.04455,2.26937,2.47907,2.10946,1.71785,1.67967,1.99544,1.75736,2.30744,1.6101,1.60568,1.80415,2.04937,1.57461,1.30508,1.846370556
"14,280",14280400,1.38886,1.75946,1.81935,2.0618,2.27735,2.51022,2.13442,1.71994,1.67858,2.00745,1.78459,2.32816,1.62355,1.63123,1.81341,2.06953,1.60043,1.33091,1.863291111
"14,398",14398400,1.41157,1.76422,1.82771,2.08171,2.28741,2.54252,2.15821,1.71913,1.67982,2.02073,1.81461,2.34812,1.63689,1.65999,1.82227,2.09013,1.62349,1.3586,1.880396111
"14,517",14516500,1.4339,1.76286,1.83612,2.10104,2.29878,2.57062,2.18034,1.71154,1.68349,2.03523,1.84429,2.3633,1.65368,1.69022,1.83798,2.10867,1.64756,1.38214,1.896764444
"14,635",14634500,1.45654,1.75553,1.8411,2.1201,2.3081,2.6001,2.20251,1.703,1.68729,2.04772,1.87262,2.37547,1.67141,1.72157,1.85241,2.12958,1.6717,1.40669,1.912413333
"14,753",14752500,1.48128,1.75012,1.84248,2.13396,2.32017,2.62679,2.22893,1.68898,1.69098,2.0631,1.89902,2.38884,1.68964,1.75107,1.87316,2.14789,1.68943,1.42941,1.927513889
"14,871",14870500,1.50812,1.74789,1.84332,2.14886,2.32875,2.64909,2.24794,1.67317,1.69175,2.08439,1.9263,2.40041,1.7132,1.78026,1.8908,2.16673,1.70431,1.45398,1.942181667
"14,989",14988500,1.53903,1.74835,1.84198,2.16466,2.34083,2.67006,2.2663,1.65907,1.68856,2.10666,1.95186,2.4092,1.73593,1.80536,1.90984,2.18842,1.71478,1.47398,1.956381667
"15,107",15106600,1.57241,1.74608,1.84449,2.18297,2.35062,2.689,2.28794,1.6441,1.68929,2.12572,1.97579,2.42097,1.76068,1.82516,1.92604,2.21044,1.72118,1.49526,1.970452222
"15,225",15224600,1.60512,1.74197,1.84875,2.20825,2.36166,2.70947,2.31363,1.63399,1.68563,2.14178,2.00224,2.43296,1.78318,1.84421,1.93995,2.22808,1.72938,1.51324,1.984638333
"15,343",15342600,1.63669,1.7402,1.85455,2.23237,2.37236,2.73144,2.34031,1.6247,1.68339,2.15981,2.02842,2.44187,1.80399,1.86186,1.94874,2.24317,1.73621,1.52549,1.998087222
