Genomic Distance,Column1,Li 2017,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,avee
"6,609",6609120,1.14814,0.705593,0.828638,0.784439,0.825384,1.20151,0.640663,0.753617,0.740976,0.87472,0.848253,1.17703,0.71544,0.669813,0.930687,0.53053,0.798594,0.766216,0.811607,0.626912,0.8189381
"6,727",6727140,1.15388,0.706199,0.831796,0.794057,0.830044,1.20627,0.646421,0.751998,0.752323,0.883435,0.844218,1.18239,0.711896,0.666761,0.929778,0.53909,0.811794,0.776814,0.814433,0.638278,0.82359375
"6,845",6845160,1.15818,0.699032,0.831783,0.802518,0.830955,1.20895,0.648855,0.753128,0.762323,0.895793,0.844245,1.18565,0.715182,0.662849,0.929104,0.546182,0.824434,0.782947,0.819245,0.647972,0.82746635
"6,963",6963180,1.16399,0.692884,0.830305,0.808852,0.830235,1.21162,0.659674,0.754638,0.774113,0.906291,0.843549,1.18762,0.718617,0.662132,0.933812,0.55017,0.836139,0.788376,0.823406,0.656914,0.83166685
"7,081",7081200,1.16888,0.683314,0.831168,0.809617,0.831021,1.21635,0.67106,0.757897,0.783756,0.917476,0.844083,1.18745,0.720509,0.66264,0.942325,0.550209,0.847368,0.792784,0.828085,0.663519,0.83547555
"7,199",7199220,1.17399,0.679887,0.827307,0.811018,0.832899,1.21964,0.685196,0.761284,0.793486,0.928417,0.847556,1.18813,0.723948,0.664379,0.949996,0.552957,0.862188,0.794948,0.833203,0.674141,0.8402285
"7,317",7317240,1.17613,0.674585,0.827548,0.811719,0.83302,1.22266,0.697561,0.7648,0.802621,0.941252,0.845198,1.18558,0.727316,0.664198,0.958896,0.554088,0.876247,0.797216,0.839301,0.686131,0.84430335
"7,435",7435260,1.18,0.673404,0.824892,0.81145,0.833074,1.226,0.707058,0.768404,0.815049,0.951355,0.844856,1.18351,0.733373,0.662924,0.969656,0.555223,0.894813,0.798309,0.844097,0.693985,0.8485716
"7,553",7553280,1.18406,0.677037,0.821627,0.813873,0.833595,1.22807,0.713857,0.7729,0.824079,0.960722,0.842773,1.18169,0.739862,0.661638,0.977203,0.558915,0.91161,0.799676,0.847307,0.700628,0.8525561
"7,671",7671300,1.19053,0.68657,0.819007,0.812756,0.837002,1.2322,0.71814,0.775951,0.827169,0.968163,0.840569,1.17882,0.747365,0.659336,0.984227,0.564015,0.926507,0.798398,0.851134,0.702536,0.85601975
"7,789",7789320,1.19632,0.691326,0.818014,0.811971,0.840999,1.23832,0.721319,0.78137,0.834571,0.97579,0.83845,1.17379,0.754248,0.659185,0.988743,0.572905,0.942163,0.798937,0.856516,0.703335,0.8599136
"7,907",7907340,1.20224,0.695513,0.817644,0.810575,0.840103,1.24346,0.724725,0.789009,0.837704,0.98208,0.831519,1.16913,0.759359,0.65609,0.996427,0.587624,0.956577,0.795822,0.862725,0.705269,0.86317975
"8,025",8025360,1.21028,0.700367,0.814757,0.812424,0.835243,1.25077,0.724917,0.796759,0.842982,0.990657,0.829587,1.16475,0.765098,0.657606,1.00149,0.600685,0.97111,0.797767,0.865145,0.710277,0.86713355
"8,143",8143380,1.22075,0.710731,0.815172,0.814321,0.83064,1.26011,0.730187,0.803409,0.847995,0.99812,0.826357,1.16057,0.774449,0.657483,1.00803,0.612101,0.986907,0.797656,0.864306,0.711216,0.8715255
"8,261",8261400,1.2299,0.722182,0.814746,0.820259,0.825892,1.26957,0.739721,0.809372,0.854768,1.00543,0.82311,1.15545,0.783499,0.662686,1.01247,0.620887,0.999555,0.796954,0.8644,0.708778,0.87598145
"8,379",8379420,1.23969,0.730628,0.81651,0.826944,0.819155,1.27849,0.745388,0.813194,0.85856,1.0131,0.818628,1.14976,0.793013,0.669329,1.01664,0.632294,1.00982,0.796928,0.863221,0.702077,0.87966845
"8,497",8497440,1.25228,0.73701,0.818109,0.833178,0.810238,1.28611,0.751602,0.817458,0.864754,1.02015,0.813786,1.14286,0.801584,0.674078,1.02134,0.639911,1.01898,0.797488,0.862467,0.695871,0.8829627
"8,615",8615460,1.26631,0.73852,0.820792,0.835703,0.804175,1.29469,0.760708,0.824201,0.870411,1.02473,0.813778,1.13598,0.817901,0.677214,1.02557,0.647099,1.02847,0.798182,0.862487,0.688497,0.8867709
"8,733",8733480,1.28121,0.739861,0.825121,0.844911,0.798908,1.30027,0.772142,0.829887,0.878123,1.03221,0.813077,1.12799,0.830711,0.681297,1.03141,0.655455,1.03589,0.799417,0.861502,0.680307,0.89098495
"8,852",8851500,1.29573,0.742223,0.833924,0.85067,0.793036,1.30591,0.783463,0.838681,0.883973,1.03989,0.812868,1.1179,0.84583,0.683904,1.0364,0.658747,1.04153,0.800572,0.857988,0.668755,0.8945997
"8,970",8969520,1.31215,0.744628,0.841427,0.858479,0.784044,1.31117,0.795764,0.845499,0.893783,1.04653,0.816336,1.11162,0.860012,0.686027,1.03954,0.662192,1.04878,0.800758,0.853946,0.659586,0.89861355
"9,088",9087540,1.32911,0.744731,0.849312,0.869081,0.778621,1.31462,0.804102,0.853014,0.905397,1.0536,0.821678,1.10593,0.873928,0.688868,1.04089,0.665127,1.05787,0.798737,0.853477,0.651111,0.9029602
"9,206",9205560,1.34754,0.747008,0.856791,0.880759,0.777304,1.31861,0.811371,0.860483,0.91857,1.05911,0.829247,1.1011,0.889006,0.688751,1.04223,0.667998,1.06507,0.79732,0.854514,0.640217,0.90764995
"9,324",9323580,1.36665,0.744167,0.861932,0.894076,0.77835,1.32027,0.814937,0.86613,0.932293,1.06502,0.835174,1.09588,0.906498,0.687767,1.04245,0.668925,1.07198,0.795245,0.853731,0.634923,0.9118199
"9,442",9441600,1.38467,0.739354,0.866978,0.906573,0.782367,1.32005,0.82328,0.873272,0.947051,1.06792,0.841659,1.09138,0.923465,0.688529,1.03981,0.666271,1.07928,0.791562,0.851323,0.625463,0.91551285
"9,560",9559620,1.39993,0.727707,0.874122,0.918643,0.781644,1.31631,0.833339,0.879658,0.96185,1.07441,0.844657,1.0883,0.937283,0.690765,1.04,0.664851,1.08483,0.790363,0.84722,0.619153,0.91875175
"9,678",9677640,1.41488,0.713698,0.880685,0.928171,0.785245,1.31288,0.841676,0.886693,0.976577,1.08331,0.849884,1.08716,0.950304,0.689194,1.03835,0.662251,1.08997,0.792855,0.845571,0.615126,0.922224
