Genomic_Distance,10th,11th,12th,13th,14th,15th,16th,17th,18th,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,avee1
14162400,2.66209,1.90425,1.74269,1.63911,2.16754,1.81621,1.66922,1.44619,2.43694,2.28411,2.28291,2.08695,2.10123,1.70508,2.14364,2.119,2.04264,2.2901,2.029994444
14280400,2.65958,1.90397,1.73159,1.6363,2.15596,1.83698,1.66596,1.43796,2.42433,2.28658,2.30644,2.08265,2.10092,1.7299,2.1424,2.13635,2.04952,2.27932,2.031483889
14398400,2.65921,1.90934,1.71705,1.63,2.14767,1.85603,1.66846,1.43637,2.41005,2.28701,2.32709,2.07608,2.09832,1.74833,2.14301,2.1527,2.05261,2.26443,2.032431111
14516500,2.65797,1.916,1.70028,1.61838,2.13943,1.87695,1.67571,1.44271,2.39134,2.28713,2.34684,2.06934,2.09428,1.76677,2.1453,2.17099,2.04758,2.24868,2.033093333
14634500,2.659,1.92172,1.67778,1.60621,2.13209,1.89435,1.6819,1.44427,2.37127,2.28917,2.36515,2.06583,2.08775,1.77879,2.14811,2.19231,2.0385,2.23147,2.032537222
14752500,2.66459,1.93116,1.65162,1.59354,2.12651,1.91279,1.6855,1.44239,2.35021,2.29145,2.38076,2.06297,2.07694,1.79373,2.14699,2.21645,2.03034,2.21065,2.031588333
14870500,2.66604,1.95208,1.62263,1.58465,2.12122,1.93698,1.69007,1.44084,2.32839,2.29577,2.39113,2.07125,2.06582,1.81179,2.14604,2.24927,2.01747,2.18768,2.032173333
14988500,2.66675,1.96755,1.59638,1.56905,2.11994,1.96143,1.69765,1.44041,2.30944,2.29789,2.40375,2.07697,2.05044,1.83407,2.14127,2.27684,2.00597,2.16647,2.032348333
15106600,2.66786,1.9786,1.56721,1.55458,2.11695,1.98522,1.69881,1.43884,2.29445,2.30064,2.4183,2.08561,2.03623,1.85855,2.13476,2.3,1.99015,2.15388,2.032257778
15224600,2.6724,1.99605,1.5425,1.53971,2.11693,2.01026,1.70177,1.4355,2.28444,2.3037,2.43987,2.09136,2.02263,1.88384,2.12839,2.32508,1.97496,2.14939,2.034376667
15342600,2.68161,2.01718,1.51773,1.527,2.11664,2.03605,1.70397,1.42838,2.27306,2.31137,2.46218,2.09541,2.01049,1.9083,2.12199,2.35057,1.9657,2.15175,2.037743333
15460600,2.68879,2.03642,1.49538,1.51293,2.11918,2.06442,1.70877,1.42455,2.26321,2.3182,2.48588,2.1003,2.00097,1.9314,2.11202,2.37821,1.95824,2.15926,2.042118333
15578600,2.69613,2.05882,1.4749,1.49976,2.12113,2.08846,1.71615,1.42297,2.24826,2.32547,2.51911,2.10527,1.98866,1.95233,2.10258,2.40689,1.95245,2.16323,2.046809444
15696700,2.70136,2.08129,1.4516,1.48674,2.12403,2.11451,1.71564,1.42156,2.23143,2.33564,2.54638,2.11681,1.97432,1.97502,2.10123,2.43319,1.94727,2.17173,2.051652778
15814700,2.70743,2.10505,1.42851,1.47324,2.12803,2.1434,1.70863,1.41631,2.21856,2.34103,2.57306,2.13252,1.95595,1.99795,2.10437,2.45523,1.94127,2.18085,2.056188333
15932700,2.70993,2.13257,1.40718,1.45858,2.12822,2.17234,1.69966,1.41049,2.20735,2.34789,2.5938,2.15194,1.93297,2.01592,2.11311,2.47702,1.93559,2.19166,2.060345556
16050700,2.70992,2.15644,1.38019,1.44744,2.12578,2.19776,1.68995,1.40647,2.20214,2.35022,2.61069,2.17506,1.9032,2.03086,2.12043,2.49585,1.92536,2.19646,2.062456667
